video_id,datetime,title
gOPio7mgNyE,2024-06-14T12:00:45Z,Leonard Has Tummy Issues | The Big Bang Theory #shorts
4rHq0auphws,2024-06-13T20:00:01Z,Penny’s Admirer Shows up at Her Door | The Big Bang Theory
22KbpBEOJAo,2024-06-13T20:00:02Z,Sheldon Has to Invite His Brother to His Wedding | The Big Bang Theory
iOkRJzwlnAw,2024-06-13T14:00:37Z,Unforgettable Sheldon Cooper Moments (Season 4) | The Big Bang Theory
OaQsv4LoReY,2024-06-13T12:00:24Z,Sheldon Got LAWYERED | The Big Bang Theory #shorts
97cwa8tyblw,2024-06-12T20:00:06Z,Hannah Montana as explained by Raj | The Big Bang Theory
15cuAzuELOc,2024-06-12T20:00:00Z,Sheldon Asks for Half a Billion Dollars | The Big Bang Theory
fI5n8s23Obk,2024-06-12T12:00:44Z,Sheldon Goes Dancing | The Big Bang Theory #shorts
DHPZldOBo0Y,2024-06-11T20:00:05Z,Howard and Raj Spy on Leonard’s Date With Penny | The Big Bang Theory
T5j0oNct3rE,2024-06-11T12:00:26Z,Death Star Cake | The Big Bang Theory #shorts
sRenf7VqACo,2024-06-10T17:00:37Z,Howard Walks in on Leonard and Penny | The Big Bang Theory
s1IPhnjHpSk,2024-06-10T14:00:41Z,Funny Moments from Seasons 2 and 3 | The Big Bang Theory
IoVMRL60h8U,2024-06-10T12:00:30Z,Star Wars Christmas? | The Big Bang Theory #shorts
RN-J5B1XBm0,2024-06-09T12:00:24Z,Bernadette&#39;s Burnout Is Real 😥 | The Big Bang Theory #shorts
zBpn9vsjscs,2024-06-08T12:01:06Z,Stuarts Retirement Plan 😂 | The Big Bang Theory #shorts
52oVFesJ2Ew,2024-06-07T23:00:05Z,Penny and Raj Discover a New Comet | The Big Bang Theory
GzW2rmwWlU8,2024-06-07T22:00:22Z,Amy&#39;s Wedding Dress | The Big Bang Theory
JFCmYrNJnms,2024-06-07T21:30:03Z,Everyone&#39;s Got Pink Eye | The Big Bang Theory
usT-sw1xYxQ,2024-06-07T20:00:30Z,Bernadette Hacks Her New Mommy Brain | The Big Bang Theory
hwJad0_4zmA,2024-06-07T12:00:47Z,Sheldon Is Zero Help | The Big Bang Theory #shorts
XmiPD0lhTWc,2024-06-06T20:00:19Z,Hold the Door! | The Big Bang Theory
Y8LZQQFYkvM,2024-06-06T14:00:23Z,Emotional Moments From the Final Season of ‘The Big Bang Theory&#39;
lMvUg84HbFg,2024-06-06T12:00:46Z,Who Else Has Done Something Like This? 😂 | The Big Bang Theory #shorts
iPOPeAMqQKs,2024-06-05T20:00:23Z,Stuart Flirts With the Spanish-Speaking Nannies | The Big Bang Theory
v93CTdPw8DM,2024-06-05T17:00:43Z,Bernadette Plays &#39;Fortnite&#39; | The Big Bang Theory
dzIVFNa00tI,2024-06-05T12:00:41Z,Penny Can&#39;t Be Poached 🙅 | The Big Bang Theory #shorts
H0lHqTr4oCM,2024-06-04T17:00:08Z,Raj Hears Leonard In Trouble | The Big Bang Theory
67y0bg_rzdc,2024-06-04T12:00:07Z,The Most Shocking Moment In the Entire Series 😱 | The Big Bang Theory #shorts
RJvzFKtF45w,2024-06-03T20:00:08Z,The Bat Signal | The Big Bang Theory
oK8cHxOESE0,2024-06-03T17:00:36Z,Amy Finally Breaks Down | The Big Bang Theory
f5u1ruhNyA0,2024-06-03T14:00:27Z,Memorable Bernadette Moments (Season 4) | The Big Bang Theory
xHO9LSSUCEs,2024-06-03T12:01:02Z,Penny Runs a Tight Ship 🫡 | The Big Bang Theory #shorts
GcNUECybAYI,2024-06-02T17:00:09Z,Raj Decides Who He Wants To Live With | The Big Bang Theory
j2hmMJjY6QQ,2024-06-02T12:00:43Z,Sheldon Loves Baby Testing 👶🏼 | The Big Bang Theory #shorts
YEA4qdadsZw,2024-06-01T17:00:29Z,Bernadette Gets Verbally Abusive Video Game Coaching | The Big Bang Theory
IdEt4A0tsuM,2024-06-01T12:00:24Z,Bernadette Wrote a Book About Howard 📕 | The Big Bang Theory #shorts
yA1z_hDG8Pw,2024-05-31T12:01:03Z,That Word Isn&#39;t &#39;Thank&#39; 🤬 | The Big Bang Theory #shorts
